UniqueID,Longitude,Latitude,Status,Aspect,Slope,Elevation,TWI,Profile_Curvature,Plan_Curvature,NDVI,LULC,Max_Temperature,Precipitation,WS,Specific_Humidity,AET,DSI,Soil_Moisture,Distance_roads,Distance_rivers,Distance_households
3365,-127.23329126461678,51.80326755011696,0,127.2726593017578,27.09724235534668,1030.34326171875,4.79051685333252,-0.075884148478508,0.0719632878899574,0.6197008490562439,2.0,8.333450317382812,2381.785888671875,3.4460272789001465,0.0050307433120906,38.31389617919922,-0.8410990834236145,44.89707565307617,13177.0859375,4100.48828125,13138.0830078125
3366,-121.1108124386242,54.25447010219354,0,56.20905685424805,3.104809045791626,914.7341918945312,5.342813014984131,0.0089232726022601,-0.0066739460453391,0.723356306552887,2.0,7.471828460693359,901.4828491210938,2.539150714874268,0.0039358842186629,37.50065612792969,0.7494601607322693,40.8182258605957,15420.796875,1799.865234375,15298.3388671875
3367,-127.0189318911127,51.520154575107085,0,79.89437103271484,8.615164756774902,1040.4512939453125,4.572020053863525,-0.0553794130682945,0.0029572544153779,0.5715530514717102,11.0,8.103659629821777,2096.19189453125,3.217663526535034,0.0047883079387247,36.35681915283203,-0.8737300634384155,48.66181945800781,9549.259765625,1990.092041015625,9576.595703125
3368,-136.57011992228394,59.36858837031271,0,73.56871795654297,9.250351905822754,,,-0.0145412189885973,-0.0228341203182935,-0.098010778427124,9.0,2.0151588916778564,1076.2015380859375,3.593392848968506,0.0031190200243145,23.072938919067383,-0.9567852020263672,52.94538116455078,14276.318359375,12005.2333984375,14279.1787109375
3369,-133.36980368570812,59.14308615019338,0,240.3995056152344,17.706777572631836,823.5221557617188,6.437297344207764,-0.0296224057674407,0.0455422438681125,0.5953830480575562,2.0,5.234030723571777,768.9429321289062,2.3909599781036377,0.0034294112119823,31.121299743652344,0.1646527796983719,85.93998718261719,28170.5078125,658.6383666992188,28137.240234375
3370,-131.73245202106182,58.00363816542989,0,83.85296630859375,11.253973960876465,1360.0594482421875,5.73899507522583,0.000174323489773,-0.0049826400354504,0.623539924621582,2.0,4.247069835662842,1020.0173950195312,2.3088595867156982,0.0032431608997285,29.37603759765625,0.6381036639213562,50.51462936401367,26594.849609375,3177.052490234375,27011.185546875
3371,-131.46404184077497,52.59118753638868,0,,,,,,,,,,,,,,,,,,
3372,-123.27033096484342,49.68414397249428,0,129.12149047851562,24.03423500061035,503.7665710449219,5.514473915100098,0.0441631488502025,-0.0013151677558198,0.7868378758430481,2.0,10.225923538208008,1904.7080078125,2.7119336128234863,0.0054898303933441,40.625267028808594,-1.0703471899032593,86.60855865478516,5631.58349609375,2151.8564453125,5580.11181640625
3373,-129.70396868277516,55.98864865325317,0,,,2009.2265625,7.189681053161621,-0.0239246468991041,0.0318165756762027,-0.1585277020931244,9.0,3.7675063610076895,1651.7152099609375,2.489860773086548,0.0036919894628226,26.49017906188965,-0.2956250011920929,51.22270584106445,13486.7431640625,3626.805908203125,13340.193359375
3374,-123.94972028693796,55.44834867659185,0,138.1816864013672,8.463310241699219,1421.673828125,5.057648181915283,-0.049567062407732,0.054821565747261,0.7489705085754395,2.0,6.311733245849609,645.974365234375,2.206253290176392,0.0036315477918833,33.557098388671875,-0.1273958384990692,56.01131439208984,9680.4267578125,5581.67138671875,9616.115234375
3375,-128.14875002655234,53.52750845517864,0,136.17208862304688,17.872541427612305,121.96105194091795,8.166634559631348,0.0529788434505462,0.0067713093012571,0.8601140975952148,2.0,7.389202117919922,2296.28515625,3.497211456298828,0.0044540138915181,34.227046966552734,-1.0447049140930176,43.11418151855469,4554.87451171875,499.9744262695313,4490.25537109375
3376,-122.1641915338724,57.25355743836396,0,268.5760192871094,3.2576255798339844,935.11474609375,6.500077724456787,-0.0029576979577541,0.0084122074767947,0.6762031316757202,11.0,6.496509075164795,569.387939453125,2.5728020668029785,0.0035781578626483,37.32749557495117,-0.0029493875335901,51.51445770263672,29356.2734375,2083.770751953125,3834.490478515625
